mood,acousticness,danceability,energy,instrumentalness,key,mode,tempo,valence
angry,0.167,0.42,0.558,0,9,1,165.987,0.538
angry,0.612,0.849,0.48,0.269,9,1,142.021,0.677
angry,0.313,0.48,0.311,1.52e-05,9,1,86.15,0.162
angry,0.00312,0.455,0.719,3.58e-05,8,1,179.89,0.637
angry,0.00533,0.697,0.552,0,7,1,94.978,0.726
angry,0.254,0.43,0.692,4.17e-06,6,1,156.261,0.401
angry,0.268,0.747,0.573,0,11,0,90.036,0.551
angry,0.0139,0.62,0.805,4.79e-05,7,1,136.896,0.801
angry,0.464,0.585,0.673,0,9,1,135.912,0.404
angry,0.0129,0.584,0.557,0,6,1,154.008,0.767
angry,0.0499,0.482,0.829,0,5,0,148.119,0.657
angry,0.433,0.658,0.698,0,11,0,139.054,0.456
angry,0.227,0.879,0.365,0.135,2,1,94.016,0.663
happy,0.0268,0.74,0.697,0,8,1,138.992,0.732
happy,0.734,0.852,0.61,5.97e-06,2,1,117.99,0.713
happy,0.218,0.763,0.759,4.24e-05,11,0,146.006,0.964
happy,0.0578,0.329,0.444,0.0352,1,1,162.279,0.225
happy,0.269,0.76,0.492,0,9,1,104.987,0.677
happy,0.13,0.826,0.745,1.32e-05,2,1,119.92,0.883
happy,0.156,0.682,0.683,2.32e-05,8,0,120.023,0.64
happy,0.383,0.851,0.424,0,6,1,94.927,0.591
happy,0.00743,0.671,0.632,8.5e-06,6,0,95.028,0.829
happy,0.305,0.859,0.612,1.55e-06,8,1,107.993,0.733
happy,0.447,0.737,0.461,0,6,1,75.005,0.481
happy,0.0893,0.787,0.686,0,6,0,123.51,0.836
happy,0.00301,0.471,0.924,0,8,1,154.961,0.725
happy,0.0696,0.853,0.604,1.65e-06,3,0,116.0,0.86
happy,0.306,0.779,0.572,0.739,4,1,114.994,0.967
happy,0.00162,0.628,0.639,0,8,1,108.045,0.493
happy,0.402,0.768,0.519,0,5,1,112.973,0.452
happy,0.00369,0.646,0.898,9.42e-06,7,1,102.997,0.728
happy,0.121,0.707,0.86,0,1,1,102.969,0.861
happy,0.44,0.761,0.525,6.7e-06,11,1,80.87,0.531
happy,0.342,0.684,0.856,0.00728,6,1,117.027,0.343
happy,0.08,0.719,0.607,0,8,1,128.006,0.464
happy,0.0651,0.747,0.789,2.42e-05,0,0,118.035,0.646
happy,0.65,0.71,0.661,6.53e-06,1,1,135.005,0.654
happy,0.141,0.765,0.663,0.000297,0,1,150.091,0.686
happy,0.0167,0.748,0.783,1.58e-05,10,0,120.049,0.935
happy,0.0657,0.723,0.73,7.14e-06,4,1,81.003,0.834
happy,0.00543,0.611,0.797,0.00137,6,0,120.041,0.518
happy,0.202,0.843,0.797,0.000117,11,0,109.973,0.613
happy,0.201,0.818,0.623,0,9,0,120.104,0.968
happy,0.533,0.755,0.522,0,2,1,89.96,0.925
happy,0.21,0.75,0.829,0,1,1,115.894,0.87
happy,0.164,0.738,0.804,0,1,0,120.017,0.725
happy,0.627,0.715,0.374,0,8,1,89.982,0.633
